PERSON_ID,PLAYER_FIRST_NAME,PLAYER_LAST_NAME,birthCountry,height,weight,POSITION,from_year,to_year,isG,isF,isC,season
1630173,Precious,Achiuwa,Nigeria,6-8,225,Forward,2020.0,2023.0,0,1,0,2021-22
1630173,Precious,Achiuwa,Nigeria,6-8,225,Forward,2020.0,2023.0,0,1,0,2022-23
203500,Steven,Adams,New Zealand,6-11,265,Center,2013.0,2023.0,0,0,1,2021-22
203500,Steven,Adams,New Zealand,6-11,265,Center,2013.0,2023.0,0,0,1,2022-23
1630534,Ochai,Agbaji,USA,6-5,215,Guard,2022.0,2023.0,1,0,0,2021-22
1630534,Ochai,Agbaji,USA,6-5,215,Guard,2022.0,2023.0,1,0,0,2022-23
1630583,Santi,Aldama,Spain,7-0,215,Forward-Center,2021.0,2023.0,0,1,1,2021-22
1630583,Santi,Aldama,Spain,7-0,215,Forward-Center,2021.0,2023.0,0,1,1,2022-23
200746,LaMarcus,Aldridge,USA,6-11,250,Center-Forward,2006.0,2021.0,0,1,1,2021-22
1628960,Grayson,Allen,USA,6-4,198,Guard,2018.0,2023.0,1,0,0,2021-22
1628960,Grayson,Allen,USA,6-4,198,Guard,2018.0,2023.0,1,0,0,2022-23
1628386,Jarrett,Allen,USA,6-9,243,Center,2017.0,2023.0,0,0,1,2021-22
1628386,Jarrett,Allen,USA,6-9,243,Center,2017.0,2023.0,0,0,1,2022-23
1630631,Jose,Alvarado,USA,6-0,179,Guard,2021.0,2023.0,1,0,0,2021-22
1630631,Jose,Alvarado,USA,6-0,179,Guard,2021.0,2023.0,1,0,0,2022-23
1626147,Justin,Anderson,USA,6-5,231,Forward-Guard,2015.0,2021.0,1,1,0,2021-22
203507,Giannis,Antetokounmpo,Greece,7-0,243,Forward,2013.0,2023.0,0,1,0,2021-22
203507,Giannis,Antetokounmpo,Greece,7-0,243,Forward,2013.0,2023.0,0,1,0,2022-23
203648,Thanasis,Antetokounmpo,Greece,6-7,219,Forward,2015.0,2023.0,0,1,0,2021-22
203648,Thanasis,Antetokounmpo,Greece,6-7,219,Forward,2015.0,2023.0,0,1,0,2022-23
1630175,Cole,Anthony,USA,6-3,185,Guard,2020.0,2023.0,1,0,0,2021-22
1630175,Cole,Anthony,USA,6-3,185,Guard,2020.0,2023.0,1,0,0,2022-23
1628384,O.G.,Anunoby,United Kingdom,6-7,232,Forward,2017.0,2023.0,0,1,0,2021-22
1628384,O.G.,Anunoby,United Kingdom,6-7,232,Forward,2017.0,2023.0,0,1,0,2022-23
1627853,Ryan,Arcidiacono,USA,6-3,195,Guard,2017.0,2022.0,1,0,0,2021-22
1627853,Ryan,Arcidiacono,USA,6-3,195,Guard,2017.0,2022.0,1,0,0,2022-23
201571,D.J.,Augustin,USA,5-11,183,Guard,2008.0,2023.0,1,0,0,2021-22
201571,D.J.,Augustin,USA,5-11,183,Guard,2008.0,2023.0,1,0,0,2022-23
1630166,Deni,Avdija,Israel,6-9,210,Forward,2020.0,2023.0,0,1,0,2021-22
1630166,Deni,Avdija,Israel,6-9,210,Forward,2020.0,2023.0,0,1,0,2022-23
1629028,Deandre,Ayton,Bahamas,7-0,250,Center,2018.0,2023.0,0,0,1,2021-22
1629028,Deandre,Ayton,Bahamas,7-0,250,Center,2018.0,2023.0,0,0,1,2022-23
1628962,Udoka,Azubuike,Nigeria,6-11,270,Center-Forward,2020.0,2023.0,0,1,1,2021-22
1628962,Udoka,Azubuike,Nigeria,6-11,270,Center-Forward,2020.0,2023.0,0,1,1,2022-23
1630641,Ibou,Badji,Senegal,7-1,240,Center,2022.0,2023.0,0,0,1,2021-22
1630641,Ibou,Badji,Senegal,7-1,240,Center,2022.0,2023.0,0,0,1,2022-23
1628963,Marvin,Bagley III,USA,6-10,235,Forward,2018.0,2023.0,0,1,0,2021-22
1628963,Marvin,Bagley III,USA,6-10,235,Forward,2018.0,2023.0,0,1,0,2022-23
1631116,Patrick,Baldwin Jr.,USA,6-9,220,Forward,2022.0,2023.0,0,1,0,2021-22
