rank,player,position,team,war,locked
1,Colton Parayko,D,STL,0.0179,False
2,Cale Makar,D,COL,0.0161,True
3,Matt Duchene,C,DAL,0.0150,False
4,Andrew Mangiapane,L,EDM,0.0132,False
5,Sam Reinhart,C,FLA,0.0130,False
6,Drew Doughty,D,LAK,0.0116,False
7,Sidney Crosby,C,PIT,0.0105,True
8,Warren Foegele,L,LAK,0.0100,False
9,Mark Stone,R,VGK,0.0100,False
10,Nathan MacKinnon,C,COL,0.0094,True
11,Adam Henrique,C,EDM,0.0085,False
12,Mario Ferraro,D,SJS,0.0077,False
13,Shea Theodore,D,VGK,0.0061,True
14,Braeden Bowman,R,VGK,0.0051,False
15,Connor McDavid,C,EDM,0.0050,True
16,Sean Walker,D,CAR,0.0050,False
17,Lawson Crouse,L,UTA,0.0022,False
18,Reilly Smith,R,VGK,0.0006,False
