roster,rotation_id,player_1,player_2,player_3,player_4,player_5,weight,score_vs_canada,score_vs_france,score_vs_okc,blended_rotation_score
USA 2024,1,Curry,Holiday,Tatum,Mitchell,LeBron,0.38,0.7621,0.7398,0.7247,0.7422
USA 2024,2,Curry,Haliburton,Brown,Durant,Davis,0.18,0.7284,0.7089,0.6998,0.7124
USA 2024,3,Holiday,Mitchell,Brown,Green,Adebayo,0.14,0.6847,0.6721,0.6598,0.6722
USA 2024,4,Tatum,Butler,Durant,Davis,Adebayo,0.12,0.7192,0.6998,0.6912,0.7034
USA 2024,5,Curry,Holiday,LeBron,Green,Haliburton,0.10,0.6521,0.6384,0.6298,0.6401
USA 2024,6,Brown,Mitchell,Durant,Davis,Adebayo,0.05,0.7041,0.6843,0.6751,0.6878
USA 2024,7,Curry,Tatum,LeBron,Green,Butler,0.02,0.6789,0.6612,0.6521,0.6641
USA 2024,8,Holiday,Mitchell,Brown,Adebayo,Haliburton,0.01,0.6234,0.6098,0.5998,0.6110
USA 2024,9,Curry,Holiday,Brown,Durant,Adebayo,0.01,0.6843,0.6721,0.6598,0.6721
USA 2024,10,Tatum,Mitchell,Green,Davis,Butler,0.01,0.6521,0.6384,0.6281,0.6395
Canada 2024,1,SGA,Murray,RJ Barrett,NAW,Wiggins,0.32,0.6642,0.6521,0.6412,0.6525
Canada 2024,2,SGA,Joseph,Dort,Clarke,Edey,0.18,0.6198,0.6087,0.5998,0.6094
Canada 2024,3,Murray,RJ Barrett,Olynyk,Brooks,Powell,0.16,0.6321,0.6204,0.6098,0.6208
Canada 2024,4,SGA,Murray,Wiggins,Clarke,Adebayo,0.14,0.6512,0.6391,0.6281,0.6395
Canada 2024,5,NAW,Joseph,Brown,Dort,Edey,0.10,0.5987,0.5876,0.5781,0.5881
Canada 2024,6,RJ Barrett,Olynyk,Brooks,Powell,Haliburton,0.05,0.6142,0.6021,0.5912,0.6025
Canada 2024,7,SGA,Murray,RJ Barrett,Wiggins,Dort,0.03,0.6234,0.6113,0.6004,0.6117
Canada 2024,8,Joseph,NAW,Clarke,Powell,Edey,0.02,0.5821,0.5712,0.5623,0.5719
Canada 2024,9,SGA,RJ Barrett,Dort,Olynyk,Brooks,0.01,0.6087,0.5976,0.5887,0.5983
Canada 2024,10,Murray,NAW,Clarke,Powell,Wiggins,0.01,0.5998,0.5887,0.5798,0.5894
